ID,Comment
72,best news since coffee ☕
73,link in bio for free gems!!
74,So excited I could screammmm
75,dev patel would SLAY as Sky-King
76,money-grab incoming 😒
77,@geekmom the prophecy is fulfilled
78,i legit screamed at work help
79,If Timothée isn’t Sentinel I’m out
80,trailer sneak peek when?
81,CAST ACTUAL TWINS for the mirror scene!!
82,GET ready for disappointment folks
83,never been so hyped and scared at once
84,u can’t improve perfection stop trying
85,those jewel tones tho ✨
86,bots everywhere today lol
87,can the trailer be NOW pls
88,Should’ve left it in book form
89,Weta + practical suits or bust
90,spam: earn crypto fast 🚀
91,@dragonqueen reading party soon?
92,don’t mess up chapter 17 plssss
93,Shutup and take my subscription
94,flop incoming mark my words
95,dev patel dev patel dev patel
96,hope they keep the 18+ vibe
97,trailer drop AUG 15 can’t wait
98,omg my kid self is SCREAMING
99,check profile for giveaways
100,books are sacred stop rebooting
101,if the eclipse isn’t total black-out I riot
102,@nerdcrew watch party??
103,why gold foil tho? looks classy af
104,This poster >>> life itself
105,they better not tweak the ending
106,Hands-down best looking teaser art
107,I fear they’ll skip the politics
108,Earn $$$ daily ask me how
109,casting rumors got me anxious
110,Big budget please🙏
111,@jules see?? told ya
112,"way too shiny, hope show is dark enough"
113,cash cow detected
114,timmy as sentinel yes yes YES
115,august can’t come soon enough
116,If they whitewash Luna I’m done
117,Get ready to binge
118,Another childhood memory monetized
119,Trailer day = national holiday
120,@teamlegend midnight watch?
121,CGI wolves or practical? discuss
122,so hyped I can’t even typeeee
123,spam bot here hello hello
124,the nostalgia hit hard
125,wonder who directs ep1
126,@karl bring the popcorn
127,Protect chapter 5 at all costs
128,omg gold accents AHH
129,"hollywood pls stop, books exist"
130,bet they’ll extend book 2 to 3 eps
131,Luna better keep her scars
132,FREE GIFT CARDS in my story
133,this looks promising not gonna lie
134,still mad the 2012 film bombed
135,@crew nerd tears unlocked
136,sooooo many feels rn
137,bored of endless reboots 🤷‍♂️
138,if budget < GoT season 6 I pass
139,Hands up if rereading tonight
140,spam follow 4 follow
141,"reboot = cash cow, prove me wrong"
142,hope soundtrack slaps
143,AUG-15 circled twice 😂
144,pls no CW filter thanks
145,@marie binge session pending
146,bruh those colors POP
147,bet the eclipse scene crashes servers
148,"too glossy, hope story sticks"
149,"more spam, yay"
150,casting leaks when??
151,if Timmy is booked I’m IN
152,i swear if they cut the twins…
153,take my sub money already
154,stop milking the goose
155,GOT chills from poster
156,spam: link in bio for free subs
157,will dev patel be Sky-King tho?
158,nostalgia overload help
159,refuse to watch another botched reboot
160,@bookworm we manifested this
161,trailer better show wolf pack
162,hype meter 9000
163,books still better tho
164,hollywood redemption arc maybe?
165,spam bot again? block
166,aaaaaaah no words
167,angry but excited lol
168,if VFX looks cheap I’m out
169,cast unknowns give them a chance
170,AUG 15 hurry up
171,"had chills, tears, everything"
172,pls don’t MCU-fy it
173,@sis trailer party?
174,spam join my forex group
175,no reboot pls originality?
176,Hope they keep the political intrigue
177,I believe in Starlight Studios 🙌
178,@reborn fans unite!
179,poster alone better than 2012 movie
180,bots be gone lol
181,The eclipse motif is 🔥
182,please respect the lore
183,bigger budget than Rings?
184,spam DM for collab
185,tears of joy + fear
186,bet the pacing will drag
187,faith restored… maybe
188,@oldguard the prophecy!!
189,“another reboot” crowd stay mad
190,casting is life or death here
191,if Luna lives I riot (jk)
192,hyped AND terrified same time
193,spam earn $$$ fast
194,midnight release pls
195,can’t spell epic without EP
196,hope they shoot on film not digital
197,@crew eclipse watch countdown
198,poster gives Vogue vibes yass
199,will the beasts be practical fx??
200,shutting up & taking my money now 👍
